,area,bedrooms,bathrooms,stories,parking
count,109.0,109.0,109.0,109.0,109.0
mean,5136.128440366972,2.9908256880733943,1.3669724770642202,1.8990825688073394,0.7247706422018348
std,2037.3407872396615,0.700468267238486,0.5878484066793699,0.9021061172738879,0.8910206344310952
min,1700.0,2.0,1.0,1.0,0.0
25%,3480.0,3.0,1.0,1.0,0.0
50%,4990.0,3.0,1.0,2.0,0.0
75%,6360.0,3.0,2.0,2.0,1.0
max,13200.0,5.0,3.0,4.0,3.0
